original_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,confidence_city_level,state_code,country,confidence_street_level,country_code,confidence,attribution,attribution_license,attribution_url
Rue de la Monnaie,48.29589,4.0713936,"Rue de la Monnaie, 10000 Troyes, France",Rue de la Monnaie,,Rue de la Monnaie,10000,,Quartier Saint-Jean,Troyes,Aube,Grand Est,,GES,France,1,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Colysée de Lambersart,50.639143000000004,3.0353582425675674,"Maison Folie de Lambersart : Le Colysée, Passerelle de Soubise, 59130 Lambersart, France",Maison Folie de Lambersart : Le Colysée,,Passerelle de Soubise,59130,Lille,Bois Blancs,Lambersart,Nord,Hauts-de-France,,HDF,France,,fr,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Marché de Noël de Lille,49.440572,1.094045,"Marché de Noël de Rouen, 76000 Rouen, France",Marché de Noël de Rouen,,,76000,Rouen,,Rouen,Seine-Maritime,Normandie,,NOR,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Place du Lion d'Or,43.957428500000006,0.3715663429675443,"Place du Lion d'Or, 32100 Condom, France",Place du Lion d'Or,,,32100,Au Canal,,Condom,Gers,Occitanie,,OCC,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jardin Vauban,50.63674725,3.0492714003077657,"Jardin Vauban, Vauban-Esquermes, Lille, Nord, France",Jardin Vauban,,,,Lille,Vauban-Esquermes,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Piscine Olympique Marx Dormoy,43.330693,-0.443052,"Piscine, 64230 Lescar, France",Piscine,,,64230,Lescar,,Lescar,Pyrénées-Atlantiques,Nouvelle-Aquitaine,,NAQ,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Église Sainte-Catherine,49.05058,7.426300211693327,"Église Sainte-Catherine, Rue du Maréchal Foch, 57230 Bitche, France",Église Sainte-Catherine,,Rue du Maréchal Foch,57230,,,Bitche,Moselle,Grand Est,,GES,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Métropolitain,48.1095573,-1.6802811,"Le Métropolitain, Rue de Nemours, 35000 Rennes, France",Le Métropolitain,,Rue de Nemours,35000,Quartiers Centre,Centre,Rennes,Ille-et-Vilaine,Bretagne,,BRE,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Nuage Café,48.8492217,2.3474809,"Nuage Café, 14 Rue des Carmes, 75005 Paris, France",Nuage Café,14,Rue des Carmes,75005,Paris,Paris 5e Arrondissement,Paris,,Île-de-France,,IDF,France,,fr,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chapelle de la Réconciliation,49.1964887,6.966985167173113,"Chapelle de la Réconciliation, Rue des Hauteurs, 57350 Spicheren, France",Chapelle de la Réconciliation,,Rue des Hauteurs,57350,,,Spicheren,Moselle,Grand Est,,GES,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
