original_name,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Les Halles de Wazemmes lille,50.626686250000006,3.0492756435910224,"Les Halles, Place de la Nouvelle Aventure, 59046 Lille, France",Les Halles,,Place de la Nouvelle Aventure,59046,Lille,Wazemmes,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Place du Théâtre lille,50.63737515,3.0646942845120275,"Euralille, Lille, HDF, France",,,,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fort de Mons-en-Barœul lille,50.6448457,3.1201574,"Fort de Mons, Fossé, 59370 Mons-en-Barœul, France",Fort de Mons,,Fossé,59370,,,Mons-en-Barœul,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fort de Mons-en-Barœul lille,50.6448457,3.1201574,"Fort de Mons, Fossé, 59370 Mons-en-Barœul, France",Fort de Mons,,Fossé,59370,,,Mons-en-Barœul,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rue de la Monnaie lille,50.6415135,3.0620055,"Rue de la Monnaie, 59043 Lille, France",Rue de la Monnaie,,Rue de la Monnaie,59043,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Colysée de Lambersart lille,50.639143000000004,3.0353582425675674,"Maison Folie de Lambersart : Le Colysée, Passerelle de Soubise, 59130 Lambersart, France",Maison Folie de Lambersart : Le Colysée,,Passerelle de Soubise,59130,Lille,Bois Blancs,Lambersart,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Marché de Noël de Lille,49.440572,1.094045,"Marché de Noël de Rouen, 76000 Rouen, France",Marché de Noël de Rouen,,,76000,Rouen,,Rouen,Seine-Maritime,Normandie,NOR,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Place du Lion d'Or lille,50.6401562,3.064697723257866,"Place du Lion d'Or, 59800 Lille, France",Place du Lion d'Or,,,59800,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jardin Vauban lille,50.63674725,3.0492714003077657,"Jardin Vauban, Vauban-Esquermes, Lille, Nord, France",Jardin Vauban,,,,Lille,Vauban-Esquermes,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Piscine Olympique Marx Dormoy lille,50.630216,3.118552,"Piscine Tournesol d'Hellemmes, 59800 Lille, France",,,Piscine Tournesol d'Hellemmes,59800,Lille,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Église Sainte-Catherine lille,50.6394475,3.057009739878054,"Église Sainte-Catherine, Terrasse Sainte-Catherine, 59800 Lille, France",Église Sainte-Catherine,,Terrasse Sainte-Catherine,59800,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Métropolitain lille,48.109557,-1.680281,"Le Métropolitain, 35000 Rennes, France",Le Métropolitain,,,35000,Rennes,,Rennes,Ille-et-Vilaine,Bretagne,BRE,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Nuage Café lille,45.76927,4.834244,"Nuage Café, 69001 Lyon, France",Nuage Café,,,69001,1er Arr.,,Lyon,Rhône,Auvergne-Rhône-Alpes,ARA,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chapelle de la Réconciliation lille,50.626065350000005,3.0377499506226506,"Chapelle Notre-Dame-de-la-Réconciliation, Rue de Canteleu, 59037 Lille, France",Chapelle Notre-Dame-de-la-Réconciliation,,Rue de Canteleu,59037,Lille,Vauban-Esquermes,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Prato lille,50.61923935,3.07107158621463,"Le Prato, Allée de la Filature, 59024 Lille, France",Le Prato,,Allée de la Filature,59024,Lille,Lille-Moulins,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
L'Usine de Roubaix lille,50.6752557,3.1977700771512616,"L'Usine de Roubaix, Roubaix, HDF, France",L'Usine de Roubaix,,,59100,,L'Usine de Roubaix,Roubaix,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Grand Playground lille,50.635174,3.065871,"Grand Playground, 59800 Lille, France",Grand Playground,,,59800,Lille,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
La Gare de Lille-Europe,50.63868,3.07594,"Gare de Lille Europe, Lille, Nord, France",Gare de Lille Europe,,,,Lille,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
La Gare de Lille-Flandres,50.63607,3.07135,"Gare de Lille Flandres, Lille, Nord, France",Gare de Lille Flandres,,,,Lille,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Place de la République lille,50.632178,3.0606792,"Place de la République, 59800 Lille, France",Place de la République,,Place de la République,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Maison des étudiants catholiques lille,45.751678,4.819255,"Maison Saint-Laurent, 69005 Lyon, France",,,Maison Saint-Laurent,69005,5e Arr.,,Lyon,Rhône,Auvergne-Rhône-Alpes,ARA,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parc Matisse lille,50.6405711,3.072587032816054,"Parc Henri Matisse, Lille-Centre, Lille, Nord, France",Parc Henri Matisse,,,,Lille,Lille-Centre,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
